p1,p2,p3,n_pois,business_ids
84,71,47,4,XyR_5dGY1-SqPUQ48_6R0w|Wl7iw_u4WeEreF4ZZF1oDw|nQ7GTpcQv7Qdj5csqUTHQA|fGeaHPDRkZj6ZUF37fe-XQ
119,71,28,4,jZy7m53Eud2cGOAPSum4fg|RnMGVQpGRmEmJlI7Uewi4A|o0DbIYcXjVGwl5mvFb7ldA|_UqbqUREVLgjYu0s06HWJg
81,44,27,4,V_JTncZcM7xF681VVPXlUA|p9KLbySL6xTJIvDIuxoGQg|-qAsm0KkOERjvIMUynPTtA|jIiiDVu0MpzcANgvDewDvg
64,30,53,4,IwDsV_MoCi36NOw19SvsDw|J475RpmY71mhvYvC9ep41A|67CxXt_JnWlFmn7Y2XZeHw|mgCherqqUsHXNNoPTc0N9Q
125,7,115,4,VBONwHcqkxYTHfxmdKGhkw|AV0oofqbYjWYXPQzxNDj2w|T_6e0SgNuKotySgVS8O1UQ|arKiXax3ScSM_z3O-0CIyw
94,14,75,4,sEz9CXEHXANqXOIcJW6oeg|Gk6EoDA3Bd9LDnYhJe1WKw|ezx74ix7nc7ZpDQ29Rkn7A|gJLJgXz_1pjnDuHfuni1jA
31,73,87,4,ZfWVso8VlT0VN14rxVHccQ|D4PD-ZKV06keByyoouJzhg|_IaLAyHDcIhLYanECs6EiQ|mrF5yU8TBZDAeSyUq-6LSg
115,55,126,4,uzpiSVy6DTQBNByAhT0Z2Q|Ox7zEtBbLVDEIdc_zTspWA|Xaw5lzLAsZ6l-A953EAGHQ|smsZqRAirDU-c5uMxFaZoA
102,72,4,4,rF0xI_3jjlsEKp3N0Z0BuQ|o8J_QeVwDZAugMYNOPAgPQ|EMBorm_Qv9TCLlfbPxsclw|OtMQXpDXdu0AndeLr2hJZw
60,80,97,4,8zEDTVC-K4VJu9FwD5GWUA|GJ7rs9e7xvxLo5gNx73I2g|oJCtJu76SdXBorAp32wRNg|c--wtAs_U4IGHmJCfHm0mw
103,38,43,4,eQi7wwMtUsgGKQkT3WXzww|k05LsIFi7AikaAIbkvPY5w|awoL_ZkakGAihaPyBfbs1g|Xdgf__jzKPUnVLZqBsRTQQ
37,42,73,4,PdUohcaDzeSVPKwR98ULAA|ufNUHAZSC1Nq85H92vHfNA|fXr9eoHJ5jgEX_6yfsBl6g|nzaLOwdtzx8shZUrqrz9dw
53,2,4,4,_LtJsAcsygWR54vxvmChEw|YctQnRcnrjr1jqKGesupTA|XvwYDArF1MH8XLaww9bzlg|UypZQjkKLWf6thQcEWk5vw
68,44,4,4,qci60H4AWEOcXZcJg4E2EQ|XN_R17L0wQCVCUChFuz3Yg|pXgqcoYlpLuCcXphrY6_hA|4wsMSNiB2Xn96ckSvYMgAQ
85,44,86,4,yJKPxrrQO1Ycp0jKO91t9w|B8n3jqzUCvVq27WfdwZCrg|SR2r6SrUNys7lX3z5ZbgdA|OYTtWV-GztfLPJV3bSafsQ
119,73,28,4,Hv8nT4XiAvIW4PEwBvykPg|TzrH228OLWU3OrP7MQosOA|DW2aLprOpZfW-35l-_aBcw|SRfj9qDRBqu0srXyrJ_IxA
61,86,48,4,WwYKRy_sbjpQYE7IvFWOrA|0ibDG6ULKef2IzbRcyMzAg|DqmSuqf_9tihev5Fpk-PTA|FGdxWqLjlTwanru0uWm8-A
77,7,10,4,Cj4SH7N9HKtPhG_wp9ZiOA|aKvowH2UXGvoxJgIRf04Zw|eCqXLayE2aN2CquG20nW6w|ZCfhzELrF9yahqQIJH3DSw
90,53,10,4,iephxeyV4Xp0lMaF3jVc_Q|gpaQTthoADVwOy33iEPkHw|7MlSfhCbZUUZVfOA7uJ9Kw|G-l1Ys-BBsq5JJjJdZzIIg
116,53,4,4,UqCUFm2z1P2LgdmNa6Q9dg|E36C_ZKYNIqdykDmJZMrqw|nkdF4Upup9SCIrcnxgGPjQ|1OQpdtSuaLD2jNTyPtug1A
77,84,75,4,6F-6mFFNw2YXN7lD_Gukcg|TRo4MkPEtdZAkM1G6C_i1w|gWV1k7XO9DSAodAlanESFA|SOxWs2-rjrQIfqib7tRqpg
10,108,124,4,jDo_8yEThaDDg3Sy-cos1A|B5dF5x8Qj_YERMmFCgfn-w|Q-hU6x9NtX4wSc2Dl_rOWA|Hjoabt3eOLpRjhWuiyKUiA
71,114,115,4,CWC9DWU5eypLiw56hLdi5g|N2j1caPRBMk34IEKqtGLSA|LMd312IyPyPJiV16Sqc_4A|hyFzDuyOWNG2rg5GYJ2wiQ
3,33,86,4,pviSeQrnoQ7MGOGGcau3Xw|EK8TCpUY9EUJVMjwM2ppIg|Vr9tcjBw4Zo5ffhrQiQrMA|LvlrOkUiMyNMxXXhxiAXZA
103,80,72,4,Mxwo_vFKUpIOe4pyCd1rGQ|mTT-0aEkx3_2RMct-nQpPA|gsG7nNnePxIed34lU7tgLw|SgCeYZH2HA510y--nU4e8g
17,44,97,4,19WNP2xXcsbWGCysShnupg|cQlpkV5PLr6g_pwyb4M3Mw|wdvEr5kRqzHR9i29vI_TwA|BBQg4nLtw1po64JVfm6SFw
24,30,67,4,tvEe4bEpuSNwsOCqv8cZtg|a0Boj2ccH5a1pHclWT8-3A|MhoNboQujzUXg9gW-GzCjQ|FfiDze1JdM6WwRI42v2Ztw
102,29,97,4,MWmXGQ98KbRo3vsS5nZhMA|KWMdCTrepsB8YFBC8JBQsA|CnhmThuteYExAEvBSzL0qg|kZu9sbMkvbpDCpqmm6TpOQ
71,33,110,4,pP4q0Mym-qt20nRqTKbzhQ|CS_GzUYlEPa6QHTRY224wQ|0pnIIgi4sm96CllW0DhXug|LaTe2iIyih62D1kCQ0hflA
113,62,102,4,tYnfA3Ee_YSAUvNQmsHELw|JsMiTkxWWcUBATcqLFt20g|PQZnJlfgkEnF80OtaBq4TQ|1jpzmHp3tNwrRk8Sh_eV9g
97,104,113,4,6LztYkV0YY0q9Ky93JKQVQ|BqFRVA9sH3NtsQsG0nY-Dw|KkdLjGfVsfGESNkE0ktURg|pnOmaiyKyacpTz-uPsimHg
30,18,83,4,FoInxau7UwTN2vguRTBNQA|2hCJpE5I2OfEToUGcvdGRQ|IsmxvaMe2i-eWnHDyC0WJQ|1mHwt5rp9aKqUcFsNTBVVQ
111,89,114,4,3jHhq66FKWA8To6DYPM0BA|hZvvMGGQ4PYmZ9lNBBKvtg|MzQ6CTG1jOw8h8_VCsEzHw|kn_B4qmDQr8jbClb3uwsFg
100,24,29,4,9B1ptpq0uMkYuGZAiqQaQA|Bxkxw-WZTCqzpmhlFDGhIg|bGunz1NKwo-A4rAzVOkS1w|Zj9xaztI02vuUWXb7_9FvQ
77,32,59,4,tzcryXhKROS0PTXopJc6kg|qV325HCv3cZKgdgkMJObNQ|-wpjPXundFyZCm9khW2wLg|zy0fsu1Wns7g6Om0SxU67g
106,2,91,4,T6YU8_8aDC8EnkL_yhQnvQ|auv2bdk8DGvnCo70B5JZkQ|xGqCATgVMBpaDua754m87A|hZeUf1snAoUPiswtyciYOQ
94,82,11,4,q3NsTN4umVlCpOmYpIKkyA|_ZMf5Am_e0AE7aveELJd9w|KkHtIFckgv9udL2RKWRU4w|r4Kx92NJW2aJjofpEuqM6Q
14,125,35,4,553Wn6JtUWDsxYFc29mnog|1ir6Kjb-d4Vg_dViVvR-rQ|2Gl-r0C-pFSvwgOARj7Fgw|OgRGre2aJ4BCXGtsaG4YRg
53,55,110,4,iIpF-IdrX6y7gPI_WDVXQA|xRRd5XWJrCs7H-A4M4i1jQ|i1JDddNy6B9FOERNlDdB_w|0qcKKhE731dpH7znxJyu6g
40,9,124,4,uLE2l0ydyecDB1GM1fj1PA|4IwFJ0zRRxNZ0Zxm9FJFFg|h74dmOR1pj7HhykkFbOgDg|wtFgXCVy9IVDo10PLU_bjg
35,55,126,4,E_6HXG8LP_NJ_4Y2yGHBAQ|ez1uTJkN_K4qZ5Z7loyJjw|THX24QYkOFtbgEKERo3Lzw|mwJgc4bfFoUb7NVFmYObDw
76,73,91,4,ihXHRu99MxQDiy_p1FKqhQ|nsv7zQb3YUW_ZFHP0VVvoA|F5NkHgCEYgXHdZXcBu2bbQ|SEeQcO7sIEFuGuVT8wgwuQ
47,40,43,4,m4lkv5ksqtdXvlIVIftH_A|vA5MHe9LqNQcp8k_CaFkHg|l9U0fpXrdJ2WDgKI4MGuOw|jsixIJGKOe4fVBIwq69-fA
77,7,75,4,a7_KZUJknqRA4DHQ3j9ofA|wjJ4QBThuRUAz3m5-Wqxkg|8mk6q7HjyJzhEMUR22kRDQ|RtGoar2B8lbGP2fr94OWLQ
42,85,33,4,3puk4beQqK6zz8N4nTdhtQ|KdgKg36d7Gdhea7FbLDTvw|t_DtEvtiIIg0lvtBTQy0Sg|ZUI1uvefVj94JLE1kIfAmA
73,101,83,4,DfIZd-uCYMBOXfFOvnAeZQ|CisEAPDYyEyJYQAOyrvm9A|bSehfDoKVeCXIcwcFwX38w|-oMyiUCsLxFvUxHvPM1hJQ
115,81,126,4,C2KhibuDzv3HJvZubkHTJA|WMVmyCFzxJQOTxPWwo2ukQ|h0JvRrc5E5WaX0i4y0TcWg|miraL4XoxqRbnZdBXKh6fA
15,122,16,4,gHMN4jk8kjG50CH-IRY2Dw|UtibXZzwJekiDzwys4I19A|CcUgFbaMhgoKJ1T42Pk9JQ|WFBBo5k07bLqHRB2vGIFeA
32,40,4,4,2SYEGA2fZLdzZQ9lmIfM5Q|Wx1paSGNKdusVGK9p096nw|XJnTY0wG45x9GBrgfNpkCw|bx0nZZkoTtYJUineqQicqQ
45,109,59,4,R1aHeUAwUF1Qkpacrn2Njw|reY1jB3RJ5FZiK1Nx6szYA|hO9h9Yo5_ZSLCzU8xB0oaQ|KHfg4owPCovQMWZ_uAIKwQ
36,57,104,4,pEFR13HPhaS_My5WEUfMhA|3Wi_O7ihXdxrKzkWa8FUkw|yrvM3DDB6HT5i9KhP5psLA|ueX6oVA4GSaKaBKMFyC8mA
122,71,92,4,VunuxKegBjV417P5SXDxhg|pWd5RRSIxllxLFnegmh1MQ|_nAia3uEN704zIbutl2A9A|BSO5jj-slpLdLgDtLWoD0w
9,69,14,4,-t1hxZ6X-XaIU4BBUQCXGA|fEbDHX6ecBAuZfaJ7hFzgw|afkVsyaop-ojmY6d75V9pQ|GFjnHspO2H3te_FESRiVIw
32,77,97,4,gKzFir7-U5_sgvCymGPGYw|H_yVbOCHTEocWeXl6UXkIQ|sk55U9XQF811y8xLGtQijQ|TPXPScI9kvWsO2i08skxaA
66,109,91,4,HaR7FvSr2o1ZM45lv4vEPw|3IadlOAx145dhqMkIezlwQ|c4hcdpEPdQDVl7YleEkjeg|TJ8MW2vXFgdUcEv02r1pqg
104,73,34,4,SJiPVACkEd6S0v3YrWLTdg|o2wOHahV_ZSWi7X-aA5VOw|dRx9ke-1Ap8RtmfHkdN_vw|0nwOwZGlB4v6XfuPLd-HWA
10,9,4,4,cmoVVsc2sEHzUWFmelgd4Q|9hd07-PcvgF15zDFqgNsPA|Vpb127k_PeJ02o-EAbWhyQ|ybAfFo6Cxo6G3AZkUFWypQ
48,88,78,4,4INCRF2drQv6ivUZHkCIJA|C73iFAmwEntIONkbd5fOuA|z5HXbl8oiPAwp4vKhMqArg|y5mX8NllPt30Nfw8oCcLuA
66,86,91,4,YZ1MEd2mVm-76n47w44pHw|Q6HgOBSJS_oGE4nz65uSTA|FCayNgVF7non019PU-1cEg|3R3xF1BSo1NvXKMKrQOtxA
33,121,43,4,jz5VofKUiZ6kRqd_6A_-bQ|yLrvAaCYv1HH8wMSRpOI_g|LzqBqmZY8JVV1iNDkBCiWg|4UOSOolbb1dtvxBmNIm0zQ
108,108,14,4,IKGppJByzhxAVLUQ9PMJnA|yqE7ay5N7hf5qqcxV0COrA|MbBTqToj2MfgYTe4Q6or2g|iAcAUJXWxhin4J99h5PPQw
101,69,69,4,7b-4PtkVI_qZ76jp4rz8Bg|F7o1wLdUIT5uwnHcP4Aq4A|rf0jA1JNEBenyjvJhgr08Q|D4N3kguo363wDH0S1yp6uQ
5,5,3,4,CMLS5r0rOAWqlnu5lnC0TA|TpKDg0I2W0UJixpawlW17g|u8pZiCYXTj9WRcK19b2koQ|G2EOfp_FstnzEuPhDB4tfQ
73,114,113,4,EtKSTHV5Qx_Q7Aur9o4kQQ|4J06--ty2Ydj1---IsArLw|8Fuj85Zzsmcp6fmb-DJH6A|_3NZVCWeyFZ1_vWqi2avjw
116,81,34,4,jXz_OjHLtICgZAM9WrWtGQ|Q4kK1k2WuZfufSCLzqndKg|eBZa7gUXYWZUj80lH8R9Qw|JM4gj4650BCmjM3sGbTDHg
73,40,88,4,OHzX-ZD9qyoeoxR8Z0dlIA|SCjUeZfjafJ88fWWQjRh2w|R3FDYMQBrMpkUquwE-eniQ|dG-gZOWzn8iO1Rvv_fbXxA
104,7,34,4,r4n8tf2SMp04YUsQC2QcqA|sgDw5vVkx7HLRoIdyO8OLw|LCitqsu9DV1RjGn7EIzzIQ|gNnnyLzqS25hScpqabrnCQ
45,90,62,4,tJ8aNrenrBATz0fM3mcVcg|JwwTuaSI_0hWI9xqpiQzgA|7lAj46kTZEHkppK-0CRsxQ|yNRUWE_0qEBdFuI3OjBdMA
57,1,10,4,uUYr4mxdptgy8faIxB-8Ew|bfv9lnhfwxSdJynls259Cg|kaTTFu29eFdLiie5-44yPA|JK5y33Om4fm9sZ0IEvmRlQ
55,73,48,4,B08ELtRljjxnefQ3ayqUZg|jM3C2n2JyDKDK4dp5R-6Vw|Sjeu4oSHGE3w1Ix8qODbIw|WMS4J04WtBIvXczwP15kdA
80,89,124,4,Qk4c5FTO5aUbydfjrG2DIw|efNsDtdqNp-gDanRyJs8sQ|C_ClllBx_0OLCi2umKrsDA|ZVw7toJMOG7Dm6S1JlOOhQ
102,125,119,4,of7Z4Q4gIQIb-ChC88gi1A|KCVv4CFsiWZnIMaLdGteuQ|UNoCxAsvobBrKWlY_jLCIQ|5gS4Yd1Z7q3087WJxC1a_A
81,85,4,4,VwUiakP6h67O-IB2hIcIuQ|P0cEfrFGbiX7U7zex9iw4w|YHqsQGotZMlvBW5EdLepmw|tYre2lAoDzBJ19dxQ1ubVA
119,40,92,4,DA2CnBUO5uRlTVCwOKh5qw|zeG4Jb_ORGiqnGmcww_a4w|hr5dfDGnO5GuIHKcLi4PPg|7lGy4SPToWQLls0leFDNTw
0,84,125,4,w_B0phzyFXPmeiVlzQrq6A|Bl6QNjzmtG779fI5Hm4gfA|VZFvKZRiz7LPwZ72u5rowQ|ckc6K5-28tDo9-Uzw4RKaQ
102,88,95,4,MTSW4McQd7CbVtyjqoe9mw|2ZrmEwoZW7Na-JVH9dM_Ug|zMLA0-Qd9_4nHvovBaAMzQ|OwSQF9WCbQf1Kvk0HzmEcg
68,68,10,4,gu2-TPPdyQyHl2CnPb7Xjg|9t5e7Tfd61Lj104O3b_fPA|VAMspUS9NhLKtkl1xzVy2w|SZ4lt-1ZQOsQJbTf6CMFRQ
75,87,92,4,RsTF2skxLcp6qo9FdnA5PA|WNBEsnHwe94X6TY3pQUOHA|zKFul_Ol0w7SERse6J5bsw|2bAMp7RVhArwR2bHTFlSiQ
74,71,4,4,4mJSWszKvjE1By8CNJKSfw|11x7dlRp4ACo3tnYnHZMaA|7NYmSJ-w7DktmbPMCymJfg|I-VOMeptMsM3ooF_2zWO0g
102,66,4,4,-sfymVvHA9TS_8V6kvvz5A|nO5Y6duqIz37ffz48WZhtw|_Wwe33K98XMNbQN6z4s96A|oW0t4UaKmQGTlyT6F9j-hg
66,80,91,4,M8LfTMjWxnWHlKdWBR-4jA|rWM-uozynAKGxkI97twfrw|7ataHmTq7FemQTQQ3ncYWw|LgcBq3TqnyKj0w4tZAQXdQ
53,59,110,4,DQ7PyYlp2bX96WZa7TcaWQ|SRGEiK8FQj64GbFliqnQhA|bZ9y54ian0Uin6nar0VkcQ|N6npQdvORCHmNtZTHUxrKQ
78,48,23,4,NR3sTKxiiNG0ua9w0GeMEQ|DBaNMnT-ful2ormPOjdIwg|UEZHkxpJ0fKeu65Ps2oLtA|kuUgMFCIQAGFZX4rk4jj0Q
29,53,11,4,eQ4DMM_Buj6u0XW29nkq9Q|j3gTi1aMxcMrnJJYpOqWVg|7TC_SZWYfU_FcFXwUYC4Mw|ud9JPLeSqIo_An5rfAMO-g
112,82,107,4,Zk970x5qnRNgDznVKMNZZA|xqUX8fYHabSIemSOp9jEUA|Lfwh2rjCXsAczquC_BETNQ|DisQqGtP2E_ZieR8PEuJLw
6,73,91,4,yllrFgtHI257pODXRsUNQg|DXc0jSP1Kpm5jtck9o7zlg|E6ooZddrd_dlO809ZJAKug|FGglPog_31NFIk1uISYNew
80,103,97,3,bqo-yv0u-1RqcnhZwHogyA|ZAV6Cp2sVj-domGYDVh92A|WzS9lfYg9SKF36uZstKEfQ
22,20,75,3,vR9SKMvXCXyrl6u5ouWHBQ|Z1BXJmTyQKhJ-C4lCBpAZQ|tLgw_VI8yIgiJJ9-1VcL0g
106,61,94,3,9Pox37z_QekA3xbjwxIhdg|QFzJKnSUtkgSs1lKOOxXeA|BObbU6CXdn1G5O2JkKJMgA
33,102,9,3,8YTbOl9x7WSJwZuKgCSF0g|n7RupcqFSj-vqxFRh9rUSA|ce22t1Cn1oEqc0-dBsrTcA
6,73,110,3,f76kKoakTyRAPc7n_Cy_lQ|r2VkTqhaK86fE9JA2Ww1NA|nJ7FielSIWIrtn9_PCmTUQ
44,7,61,3,FFVHyBI0eiZLcfV8FVOMMg|TVoTCkZukwXQx8n8kARIMA|li4Yw2cG968EiymHMCdoXg
53,121,126,3,kvoNwEVdAzPse9ujGKeYNw|yaFsmea6jC2BD3Dwe380iQ|OBd-Z46gzNefLP_oY0_hJw
47,48,97,3,i_Zzv8KVkt4gimf4VOuVwQ|mlT53d4uAbe2_W4eDP1TYg|R49ZLFHn9fhEwPCh2FQeDA
81,44,106,3,H79M66uQzqedavPmzNE97g|LZOocuaAfg6Jee4NTkUsiw|D29nUZF_33wCe5cAirHzZA
96,59,4,3,B0a6l8FWETcieWmS13pC-Q|pXEzNp9xiyK62UuIxy-oIw|FZAf9spYl0bMp9Yokdcxyg
26,123,117,3,hHcMRfCsTfwKznWDvFVHyg|BjnDHAsCzklPkzcbgm_zGA|W1eHBor9iMkDh3S3TZeR9g
102,7,75,3,xJyp6RLqNRv3tSu6njPKxQ|SIoCIxjn4jLt2O-4DajWJw|ohKpfUHiO4wLwuLj5q9XRA
101,108,69,3,yZP6Z8sbDpkeXyjNMDiyDg|wF978e1ynly8szIHIoLiRA|ZQ1GAi0QD7lSc9U4RlH4ew
84,114,48,3,JF7iyI3wA_AKi_iXOKi0Qw|05471AhNLv1NxKoaVs4gYw|zrQAj03aHI7kpmAiyKcKhA
107,96,124,3,kEHiiHg_MRMyKweu7q2JCA|wbCox5gNs_8refT-QhF6-Q|Nz35wEHaq9gKK5uCFfqrhg
113,53,11,3,o5g6LSY0miB1rei7WgfJlw|oB1Nr66ryXWrJJ8-Euv9PA|-TdNv5o5J2JjTmIuAbIWzw
105,81,48,3,G1OsHl1jMDiepFJnWQTTQQ|ntjq50D4FoVLjIm9fqT4Vw|y7ZcVjch3cYcMS49MWkt6g
79,53,97,3,O7V5-EkWlcNUbZFMcrSpSQ|AUFcWR8Cu6FWNIy2DwUycQ|0XjhjgsSZV9KTifzeIPlbA
92,121,29,3,MiZceSdvf3etkKX_jYwQHA|-7KyK-QIAjFicDhpifwbPw|GFmm4keQTQ4McwxMg92nDQ
116,47,59,3,vFaZ55TFdW5GxtsS_0VKXg|oBpjZ_1m_Z8ELdq_1btj8Q|trTTls_MshX8H3hptEVKrw
62,84,94,3,C4lZdhasjZVQyDlOiXY1sA|V05FYOkqpCnNsU_igh99sQ|F5--WrwvvEE80dFUCH6-Lw
124,73,34,3,DRnvSL_I8MLuTLhl6O4JBQ|LBe2t5cEKGCLFFfvNT87Pg|dQz8GzXDTllj0XT3HVkYbg
124,113,59,3,a93-oNkJsUWOCiHu5O9xLA|Dfv6BewAcEokLLLpBXS2QA|lJj8PCFTYIsYwSoy3G57HA
116,4,57,3,l3rvbtt8SoD2rBtGOVEUsw|e_Ln77fMG0XR-PE3kSFnBw|qCd6XWTN9UEaAaYdtiopxQ
57,38,94,3,usMJgeFEO6Zk2WUJqbHGYg|_BTdfZLpjdkdXwA-JuLwhw|p6H295aQCbDJ80GcpqFvwA
107,19,33,3,p9bz6eZT4y7He03nfLlQxQ|v2rA4SRMExUUXny6MFLb6A|A2Jizi4-CZufW1ozFB-oWA
68,106,4,3,iPxBCuxl7AX5tUP4YSKMEw|bid5FoQJ_f_OvnDjpOYXQg|BfGBESjdxQ-UfdslsUVZRQ
119,35,108,3,CAbMYVUlNpveVdNnyU9StQ|rjtdMBDicrKUByhCCdizDg|9cKsMBNhLCEgpHWcOHpC8A
82,0,87,3,5xQQNefE-NbjFmYl7vhdzA|x3TkjPHyJLe2F2o-5U8kVA|cBQj--6c9JXvmK3ck-rj3w
22,48,106,3,D2OcZHMkznF5bbelwZ7TPw|sQhh7JCGpqNgf0hHWc4m8g|k5ODiSuPem4rHsBgi-iCSA
27,69,29,3,Kap3gxlPeVEWaVyCYgyUgw|peK2hGjbmMJOWlvAE59YPQ|k_mIcCFvXWuN8I4ofCta3g
119,82,28,3,dfoptDebFhEZCZwFxuZ6_w|-pHjNBWZigns6lCe_ddZJg|Oy8MfKjNpv3uKs6tCgCVVw
82,51,61,3,c_lL06vt2mmpxenI07FHgA|N_dameoyJSMcm7RVwGeZ7w|-DffuTBxcKochiDa4QKPwQ
52,114,25,3,pABQ5benw5OkuARYHwBkTg|-RpUSbVtSGO9LZwMzGogww|Y0I8efE0ryP1--p4NK_rbA
15,117,75,3,qrVCN6M272dDdEKPB1E44w|Bh6zoVfsH1_jukwze73oVQ|UmrkBqWwGD8rFiYPoawmoA
64,30,28,3,G3S5ZjwJjMq8iHutL23xWQ|kFFAnkuu2kdf039SPrUVSA|So8VifVhJNLPUgCqPIT3fQ
67,19,33,3,FGMWwMg9ZJ1prb-NBMng2A|BBVRx6N7o4VrmxDHJHUTaw|pj8OvpfQP9SA9zlIJT7ITA
79,64,86,3,gClT19eYqRvlAaalZcmsbg|q6vmjTJwoysmB1GJtxRMGw|OZnU--KfAdDwJarO8roRig
71,98,34,3,F8yozE3NWnImNApHO347gQ|TpaWkW4eazEBNZkDeIYLYg|I2ISRV7IybkMc3HEYKUE9g
124,110,104,3,Otyo_ci_i3X3lwiYyJyAyA|65sPpkVbRSYS0droEoRavw|mK5gu18whrKEG8aojSzpbA
69,32,91,3,1uH04sUUaBmtHq89OIXd_Q|rgSHLh2Le0Un82FDxbq0mg|YBq6blbEs3Vc43x-G0mC8w
78,88,19,3,gXwHMtF-PLNG_9n7t9IxBA|McQZweV9DLoNzbJWksPJ6w|4nJ1L8QMKujkh8_Oe4FK6A
108,24,68,3,Sv3gcMXvnDtKBee5Arb5hQ|9SHpsMwggaTvnKhCV_h5mQ|Izgm6BCRwkuol2_JCeQ82w
24,54,29,3,g-j3o2sxY3nnZ8tx-dHH4w|5Wqq5lSrKJlSqnuzENnKlA|1O6E4X0Qzwv6XGDT6NDYeg
82,53,11,3,u_f07X3t6kMTaTYQr-6HSg|8krt6sPp-btOAq4_I_DAdw|TpkeR4NQp1-bkqwfCzPljg
6,113,110,3,2bvABSVn-kChNn0I4BrRJQ|ShHdco5F_kje58czuqQp5Q|TZlOV9irxzPTSQ6XEhQFHQ
56,96,10,3,cCwNX2r-4hDXPNGwDx2otg|olT4HyYi5MAUoSGiMGAydQ|gLRjcn1IcPWaXtEeWbEinw
110,53,97,3,49Pr-M3qFKyHAaPIlt8RiQ|UpBMrQLH63X2KEjJtQsH2A|_-wIHIzRdvqPQlzTu8oVSQ
4,102,27,3,gLzTEx8VV5YFGc2yjqEj9Q|mhXZUE0O8wug77A6U4BHMg|NfinluRG0yvNycTu3mmPSQ
30,65,94,3,XNmR74MDEJfIiEYIbKgqaA|oi9pCS83sO9wu9knPiu94Q|hwS2e1jQEcVR3AfDncMqOA
96,53,4,3,gMCHyIxgjuXmidtnLnBzEg|2mHJetAZqfkm-QH-nOMu9g|61LV0m3jltAiMxXDdLYIoQ
46,59,11,3,ZBrSJGjMkCMgfVtNq6Zerw|loaoPi2hD2T6FHCcJ7G-BQ|BKdHppZ3APxm4fGiVcEdnQ
12,31,4,3,4rMNJ3twm3pvifwF6in4Sg|v5iurptJZo_7xm2Qm-3lgQ|VNSaC3-6578Pt7IOMCxb8g
67,24,106,3,mLDJH5ic5_digOyWxBA71Q|C-3TQI2iclSUIk9HNhmPaA|HeUS0X72RccElOPKaZmnSA
69,7,113,3,P6_0KGFZO3K0qHSfhUuINg|G0Fhi9lh1sSZSSPuXpe6Ug|Apq-ft7x_q_7X8EhnGbTMQ
9,89,24,3,dqjH5HMFinZBNKBoEtd7qA|tS5Rzlqz5pB16RL30ALJSw|9AvjqhbhXf7jjm4lBI3rpA
14,88,75,3,ZNB73mij2iG0wfbXBazQdw|etU4of3VovLEW3MVDi_5sA|29mQNZv8dsN8IAJ8uBnjUw
73,73,113,3,LgHYTrrRhajfo4y8jkVQPQ|B_KHLlzbufFbu-ebTF6oKg|TKPAyOWcexkpVHPCdYTNmQ
97,48,91,3,RNknAokcVfznb8vHJDj-XA|z7L0v3BJvmygiuyNU6rK3w|hFfxaiz7GW3oAh9E1nOQmw
17,68,97,3,fC0IdZZ5yuv2Pp-5Mm5teg|NloNQ02o9MH5S2QkTO_Iuw|wlmddk9BEW3dnxuaFwwjaw
38,109,93,3,acsheIhuYrmmth1_z0Ylxw|YiS4cHUiwLiK0enXRZX-Hg|N9S8P_ff8ERsqzpyvK-pUw
93,71,87,3,KjdGQMxhgW25Fn_A-DNY4w|zeE4rZhbaKBwvA4WaZ6_ig|kjqhiQqdUuiC19ubuw3Qxg
4,59,113,3,XdJSlO_7oQYZDd_FvOmRkg|L-arSBL1lm5TYmn6fERCAQ|h4cG0YpeEDsdVqeq01gQ5Q
78,46,33,3,lkO8fY3ZosD1Jqy9K-cHxg|NR4ymv_qlMVzsC6CKiq8fA|eMAe0izoSWFxq8YIlpUREw
120,30,67,3,GSu2c1KahQmfPxgICxZD9g|8ql129VldhnHms0vCSmJLQ|cDufzrf_48YuTLy3ANXEqw
53,81,126,3,Ouz6NevgUHn-rGXbcw7DOQ|HR7C_tRAEgzTI8_yd4NUUw|WPhxq_tXuRIMY1bW9MFFEA
71,77,59,3,DTuAFwqf2lknagHDT4pUMA|T0GS1FEYQBy2xlxWGWamBw|mnnLKtcwW6vEoBx4JYPjRQ
77,115,75,3,UuWNE12-HI-4UPilREGX5g|1CgDGZ9x5-JPzUaq6I9ZLg|Qo0_SfNe3VyJWp3Ghiv42Q
37,106,104,3,DuPZbsvbOQrQ0uHKWAfvkQ|T5nOjfu5Nr0XbdTQ_4t6aA|dpBn26-MSoLTaFkhjmBBQQ
32,49,95,3,Ve0_9qksgWjqwMEHyXQvWw|Fz4mzQjAxyrN6tQLcZ73Bw|iCRYX4-coR7GYFtyy8qAnA
55,33,95,3,lPhKez2cp4T5h_fTWiTJZQ|K2KJKuC1J4U5WS6Y-9ZWRw|uaBIJAmgeeK30m7QRTibtw
8,44,91,3,ygfNttCMGWAuM69R_-SoPQ|uM0Q93Z2szhUicYgAhU7VQ|eAv4CxnFb19Fpyi9HaiytA
48,76,16,3,YoJ_0W9dTX5cVzLI9oihzg|HAYfJc20CxJjvI72NmmV6A|cGmfld-aBFI_lu7HIxgBuQ
115,80,110,3,tbOejfiW2lBnhduQELURmA|2kPCe_Bn6kwKXbGlBVPz9w|xQrkDYRgFcLFKVw2s9O02w
112,40,2,3,YsXI2L15fOKXZfc5nHYikA|p32eg0OGN731AMsi3QzBMw|kxsZpxBlYDFd-e0sh_c0mA
